Why is phishing becoming more of a problem?|Fake websites and emails often use most of the HTML from real sites, only changing the hyperlinks
What is the most important reason to update and patch software on a regular basis?|To fix bugs and security flaws
Assuming the table shown is called 'Students', SQL command would we use to enter a new students called Jane, age 16 into class 11R?|INSERT INTO Students VALUES ('009', 'Jane', 16, '11R')
An advantage of pseudocode is that:|It helps to design algorithms and with thinking logically
What is the major limitation with Bluetooth technology used in PANs?|Short range
Binary is produced as a result of compilation of:|High level code
The systems software includes the:|Operating system and utilities
What does user management mean in the context of an operating system?|Providing for different users to log in to a computer retaining their settings and security
If A = 1, B = 0. What is the output from the Boolean expression: NOT(A+B)?|0
A terminal symbol in a flow diagram is used to signify:|The start or end of a process
What is the purpose of the WHERE structure in SQL?|To define the criteria of the records returned
Which of the following SQL commands is used to add a new record to a database table?|INSERT INTO
What does LAN stand for?|Local Area Network
Which of these is one advantage of a compiler over an interpreter?|The code is optimised
